Unnamed: 0;type;subtype;bedroomCount;bathroomCount;province;locality;postCode;habitableSurface;buildingCondition;buildingConstructionYear;facedeCount;floodZoneType;heatingType;kitchenType;hasLivingRoom;toiletCount;hasTerrace;epcScore;price
232;APARTMENT;APARTMENT;2.0;1.0;Brussels;ETTERBEEK;1040;96.0;JUST_RENOVATED;1960.0;2.0;;GAS;INSTALLED;TRUE;1.0;TRUE;C;437500.0
233;APARTMENT;APARTMENT;2.0;1.0;Brussels;ETTERBEEK;1040;96.0;JUST_RENOVATED;1960.0;2.0;;GAS;INSTALLED;TRUE;1.0;TRUE;C;437500.0
234;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;70.0;;1964.0;;;FUELOIL;;TRUE;1.0;TRUE;E;268000.0
235;APARTMENT;FLAT_STUDIO;1.0;1.0;Brussels;Etterbeek;1040;48.0;GOOD;1935.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;1.0;TRUE;G;185000.0
242;APARTMENT;APARTMENT;2.0;1.0;Brussels;ETTERBEEK;1040;94.0;;1958.0;2.0;;FUELOIL;;TRUE;1.0;TRUE;D;350000.0
247;APARTMENT;DUPLEX;2.0;1.0;Brussels;Etterbeek;1040;110.0;GOOD;1930.0;2.0;;GAS;SEMI_EQUIPPED;;2.0;;G;345000.0
248;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;60.0;GOOD;2008.0;2.0;NON_FLOOD_ZONE;ELECTRIC;INSTALLED;TRUE;1.0;TRUE;G;249000.0
256;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;82.0;AS_NEW;1960.0;;;;;TRUE;1.0;TRUE;F;317000.0
257;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;56.0;GOOD;1918.0;2.0;;;;TRUE;1.0;TRUE;G;283000.0
258;APARTMENT;APARTMENT;3.0;1.0;Brussels;ETTERBEEK;1040;115.0;;1974.0;4.0;NON_FLOOD_ZONE;;HYPER_EQUIPPED;TRUE;2.0;TRUE;F;420000.0
259;APARTMENT;APARTMENT;1.0;1.0;Brussels;ETTERBEEK;1040;80.0;TO_BE_DONE_UP;1936.0;;;;;TRUE;1.0;;E;240000.0
261;HOUSE;HOUSE;4.0;2.0;Brussels;Etterbeek;1040;145.0;TO_RENOVATE;1930.0;1.0;;GAS;NOT_INSTALLED;TRUE;3.0;;;499000.0
263;APARTMENT;GROUND_FLOOR;2.0;1.0;Brussels;ETTERBEEK;1040;82.0;TO_RENOVATE;1959.0;2.0;;;;TRUE;1.0;TRUE;G;250000.0
264;APARTMENT;APARTMENT;4.0;3.0;Brussels;Etterbeek;1040;372.0;GOOD;1961.0;;;GAS;;TRUE;1.0;;C;1150000.0
270;APARTMENT;APARTMENT;2.0;1.0;Brussels;ETTERBEEK;1040;110.0;;1993.0;3.0;NON_FLOOD_ZONE;GAS;INSTALLED;TRUE;1.0;;C;389000.0
271;APARTMENT;APARTMENT;1.0;1.0;Brussels;ETTERBEEK;1040;64.0;;1953.0;;;;;TRUE;1.0;TRUE;;249500.0
272;HOUSE;HOUSE;6.0;4.0;Brussels;Etterbeek;1040;210.0;TO_BE_DONE_UP;1918.0;2.0;NON_FLOOD_ZONE;GAS;;TRUE;4.0;TRUE;F;590000.0
